# Blocks-15.1.0.txt
# 日期：2023-07-28, 15:47:20 GMT
# ? 2023 Unicode?, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; 基本拉丁文字|Basic Latin
0080..00FF; 拉丁文字补充|Latin-1 Supplement
0100..017F; 拉丁扩充甲|Latin Extended-A
0180..024F; 拉丁扩充乙|Latin Extended-B
0250..02AF; 国际音标扩充|IPA Extensions
02B0..02FF; 有距修饰字|Spacing Modifier Letters
0300..036F; 结合变音标记|Combining Diacritical Marks
0370..03FF; 希腊及科普特|Greek and Coptic
0400..04FF; 西里尔|Cyrillic
0500..052F; 西里尔补充|Cyrillic Supplement
0530..058F; 亚美尼亚|Armenian
0590..05FF; 希伯来|Hebrew
0600..06FF; 阿拉伯|Arabic
0700..074F; 叙利亚|Syriac
0750..077F; 阿拉伯补充|Arabic Supplement
0780..07BF; 塔纳|Thaana
07C0..07FF; 恩科(西非书面)|N’Ko
0800..083F; 撒马利亚|Samaritan
0840..085F; 曼德恩|Mandaic
0860..086F; 叙利亚补充|Syriac Supplement
0870..089F; 阿拉伯扩充乙|Arabic Extended-B
08A0..08FF; 阿拉伯扩充甲|Arabic Extended-A
0900..097F; 天城体|Devanagari
0980..09FF; 孟加拉|Bengali
0A00..0A7F; 果鲁穆奇|Gurmukhi
0A80..0AFF; 古吉拉特|Gujarati
0B00..0B7F; 奥里亚|Oriya
0B80..0BFF; 泰米尔|Tamil
0C00..0C7F; 泰卢固|Telugu
0C80..0CFF; 卡纳达|Kannada
0D00..0D7F; 马拉雅拉姆|Malayalam
0D80..0DFF; 僧伽罗|Sinhala
0E00..0E7F; 泰文|Thai
0E80..0EFF; 老挝|Lao
0F00..0FFF; 藏文|Tibetan
1000..109F; 缅文|Myanmar
10A0..10FF; 格鲁吉亚|Georgian
1100..11FF; 谚文字母|Hangul Jamo
1200..137F; 埃塞|Ethiopic
1380..139F; 埃塞补充|Ethiopic Supplement
13A0..13FF; 切罗基|Cherokee
1400..167F; 统一加拿大土著音节|Unified Canadian Aboriginal Syllabics
1680..169F; 欧甘|Ogham
16A0..16FF; 卢恩|Runic
1700..171F; 他加禄|Tagalog
1720..173F; 哈努努奥|Hanunoo
1740..175F; 布希德|Buhid
1760..177F; 蒂亚格班瓦|Tagbanwa
1780..17FF; 高棉|Khmer
1800..18AF; 蒙文|Mongolian
18B0..18FF; 统一加拿大土著音节扩充|Unified Canadian Aboriginal Syllabics Extended
1900..194F; 林布|Limbu
1950..197F; 傣?|Tai Le
1980..19DF; 新傣仂|New Tai Lue
19E0..19FF; 高棉符号|Khmer Symbols
1A00..1A1F; 布吉|Buginese
1A20..1AAF; 傣昙|Tai Tham
1AB0..1AFF; 结合变音标记扩充|Combining Diacritical Marks Extended
1B00..1B7F; 巴厘|Balinese
1B80..1BBF; 巽他|Sundanese
1BC0..1BFF; 巴塔克|Batak
1C00..1C4F; 雷布查|Lepcha
1C50..1C7F; 奥尔奇基|Ol Chiki
1C80..1C8F; 西里尔扩充丙|Cyrillic Extended-C
1C90..1CBF; 格鲁吉亚扩充|Georgian Extended
1CC0..1CCF; 巽他补充|Sundanese Supplement
1CD0..1CFF; 吠陀扩充|Vedic Extensions
1D00..1D7F; 音标扩充|Phonetic Extensions
1D80..1DBF; 音标扩充增补|Phonetic Extensions Supplement
1DC0..1DFF; 结合变音标记补充|Combining Diacritical Marks Supplement
1E00..1EFF; 拉丁扩充追加|Latin Extended Additional
1F00..1FFF; 希腊扩充|Greek Extended
2000..206F; 通用标点|General Punctuation
2070..209F; 上标及下标|Superscripts and Subscripts
20A0..20CF; 货币符号|Currency Symbols
20D0..20FF; 结合变音记号|Combining Diacritical Marks for Symbols
2100..214F; 类字符号|Letterlike Symbols
2150..218F; 数字形式|Number Forms
2190..21FF; 箭头|Arrows
2200..22FF; 数学运算符|Mathematical Operators
2300..23FF; 各式技术符|Miscellaneous Technical
2400..243F; 控制图符|Control Pictures
2440..245F; 光学字符识别|Optical Character Recognition
2460..24FF; 附围字母数字|Enclosed Alphanumerics
2500..257F; 制表符|Box Drawing
2580..259F; 方块构素|Block Elements
25A0..25FF; 几何形状|Geometric Shapes
2600..26FF; 各式符号|Miscellaneous Symbols
2700..27BF; 什锦|Dingbats
27C0..27EF; 各式数学符号甲|Miscellaneous Mathematical Symbols-A
27F0..27FF; 增补箭头甲|Supplemental Arrows-A
2800..28FF; 布莱叶盲文点字|Braille Patterns
2900..297F; 增补箭头乙|Supplemental Arrows-B
2980..29FF; 各式数学符号乙|Miscellaneous Mathematical Symbols-B
2A00..2AFF; 增补数学运算符|Supplemental Mathematical Operators
2B00..2BFF; 各式符号及箭头|Miscellaneous Symbols and Arrows
