# Blocks-15.1.0.txt
# 日期：2023-07-28, 15:47:20 GMT
# © 2023 Unicode®, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 例字)|区段名|始码、译名(

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; Basic Latin|基本拉丁文字
0080..00FF; Latin-1 Supplement|拉丁文字补充
0100..017F; Latin Extended-A|拉丁文字扩充A
0180..024F; Latin Extended-B|拉丁文字扩充B
0250..02AF; IPA Extensions|国际音标扩展
02B0..02FF; Spacing Modifier Letters|有距修饰字符
0300..036F; Combining Diacritical Marks|组合附加记号
0370..03FF; Greek and Coptic|希腊文字和科普特文字
0400..04FF; Cyrillic|西里尔文字
0500..052F; Cyrillic Supplement|西里尔文字补充
0530..058F; Armenian|亚美尼亚文字
0590..05FF; Hebrew|希伯来文字
0600..06FF; Arabic|阿拉伯文字
0700..074F; Syriac|叙利亚文字
0750..077F; Arabic Supplement|阿拉伯文字补充
0780..07BF; Thaana|塔纳文字
07C0..07FF; N’Ko|西非书面文字
0800..083F; Samaritan|撒马利亚文字
0840..085F; Mandaic|曼德恩文字
0860..086F; Syriac Supplement|叙利亚文字补充
0870..089F; Arabic Extended-B|阿拉伯文字扩充A
08A0..08FF; Arabic Extended-A|阿拉伯文字扩充B
0900..097F; Devanagari|天城文字
0980..09FF; Bengali|孟加拉文字
0A00..0A7F; Gurmukhi|古木基文字
0A80..0AFF; Gujarati|古吉拉特文字
0B00..0B7F; Oriya|奥里亚文字
0B80..0BFF; Tamil|泰米尔文字
0C00..0C7F; Telugu|泰卢固文字
0C80..0CFF; Kannada|卡纳达文字
0D00..0D7F; Malayalam|马拉雅拉姆文字
0D80..0DFF; Sinhala|僧伽罗文字
0E00..0E7F; Thai|泰文字
0E80..0EFF; Lao|老挝文字
0F00..0FFF; Tibetan|藏文字
1000..109F; Myanmar|缅甸文字
10A0..10FF; Georgian|格鲁吉亚文字
1100..11FF; Hangul Jamo|谚文字母
1200..137F; Ethiopic|埃塞俄比亚文字
1380..139F; Ethiopic Supplement|埃塞俄比亚文字补充
13A0..13FF; Cherokee|切罗基文字
1400..167F; Unified Canadian Aboriginal Syllabics|统一加拿大土著音节
1680..169F; Ogham|欧甘文字
16A0..16FF; Runic|卢恩文字
1700..171F; Tagalog|他加禄文字
1720..173F; Hanunoo|哈努努奥文字
1740..175F; Buhid|布希德文字
1760..177F; Tagbanwa|蒂亚格班瓦文字
1780..17FF; Khmer|高棉文字
1800..18AF; Mongolian|蒙文文字
18B0..18FF; Unified Canadian Aboriginal Syllabics Extended|统一加拿大土著音节扩展
1900..194F; Limbu|林布文字
1950..197F; Tai Le|德宏傣文字
1980..19DF; New Tai Lue|新傣仂文字
19E0..19FF; Khmer Symbols|高棉文符号
1A00..1A1F; Buginese|布吉文字
1A20..1AAF; Tai Tham|傣昙文字
1AB0..1AFF; Combining Diacritical Marks Extended|组合附加记号扩展
1B00..1B7F; Balinese|巴厘文字
1B80..1BBF; Sundanese|巽他文字
1BC0..1BFF; Batak|巴塔克文字
1C00..1C4F; Lepcha|雷布查文字
1C50..1C7F; Ol Chiki|奥尔奇基文字
1C80..1C8F; Cyrillic Extended-C|西里尔文字扩展C
1C90..1CBF; Georgian Extended|格鲁吉亚文字扩展
1CC0..1CCF; Sundanese Supplement|巽他文字补充
1CD0..1CFF; Vedic Extensions|吠陀文字扩展
1D00..1D7F; Phonetic Extensions|音标扩展
1D80..1DBF; Phonetic Extensions Supplement|音标扩展补充
1DC0..1DFF; Combining Diacritical Marks Supplement|组合附加记号补充
1E00..1EFF; Latin Extended Additional|拉丁文字附加扩展
1F00..1FFF; Greek Extended|希腊文字扩展
2000..206F; General Punctuation|通用标点符号
2070..209F; Superscripts and Subscripts|上标与下标
20A0..20CF; Currency Symbols|货币符号
20D0..20FF; Combining Diacritical Marks for Symbols|组合用附加记号
2100..214F; Letterlike Symbols|类字母符号
2150..218F; Number Forms|数字形式
2190..21FF; Arrows|箭头
2200..22FF; Mathematical Operators|数学运算符
2300..23FF; Miscellaneous Technical|各式技术符
2400..243F; Control Pictures|控制图符
2440..245F; Optical Character Recognition|光学字符识别符号
2460..24FF; Enclosed Alphanumerics|包围字母数字
2500..257F; Box Drawing|制表符
2580..259F; Block Elements|方块构素
25A0..25FF; Geometric Shapes|几何形状
2600..26FF; Miscellaneous Symbols|各式符号
2700..27BF; Dingbats|印刷符号
27C0..27EF; Miscellaneous Mathematical Symbols-A|各式数学符号A
27F0..27FF; Supplemental Arrows-A|补充箭头A
2800..28FF; Braille Patterns|布莱叶盲文点字
2900..297F; Supplemental Arrows-B|补充箭头B
2980..29FF; Miscellaneous Mathematical Symbols-B|各式数学符号B
2A00..2AFF; Supplemental Mathematical Operators|补充数学运算符
2B00..2BFF; Miscellaneous Symbols and Arrows|各式符号及箭头
2C00..2C5F; Glagolitic|格拉哥里文字
2C60..2C7F; Latin Extended-C|拉丁文字扩展C
2C80..2CFF; Coptic|科普特文字
2D00..2D2F; Georgian Supplement|格鲁吉亚文字补充
2D30..2D7F; Tifinagh|提非纳文字
2D80..2DDF; Ethiopic Extended|埃塞俄比亚文字补充
2DE0..2DFF; Cyrillic Extended-A|西里尔文字扩展A
2E00..2E7F; Supplemental Punctuation|补充标点符号
2E80..2EFF; CJK Radicals Supplement|中日韩汉字部首补充
2F00..2FDF; Kangxi Radicals|康熙部首
2FF0..2FFF; Ideographic Description Characters|表意文字描述字符
3000..303F; CJK Symbols and Punctuation|中日韩符号及标点
3040..309F; Hiragana|平假名
30A0..30FF; Katakana|片假名
3100..312F; Bopomofo|注音符号
3130..318F; Hangul Compatibility Jamo|谚文兼容字母
3190..319F; Kanbun|汉文训读
31A0..31BF; Bopomofo Extended|注音符号扩展
31C0..31EF; CJK Strokes|中日韩汉字笔画
31F0..31FF; Katakana Phonetic Extensions|片假名音标扩展
3200..32FF; Enclosed CJK Letters and Months|包围中日韩字母及月份
3300..33FF; CJK Compatibility|中日韩兼容全角字符
3400..4DBF; CJK Unified Ideographs Extension A|中日韩统一汉字扩展A区
4DC0..4DFF; Yijing Hexagram Symbols|易经六十四卦符号
4E00..9FFF; CJK Unified Ideographs|中日韩统一汉字基本区
A000..A48F; Yi Syllables|彝文音节
A490..A4CF; Yi Radicals|彝文部首
A4D0..A4FF; Lisu|傈僳(老)文字
A500..A63F; Vai|瓦伊文字
A640..A69F; Cyrillic Extended-B|西里尔文字扩展B
A6A0..A6FF; Bamum|巴默姆文字
A700..A71F; Modifier Tone Letters|声调修饰符号
