# Blocks-15.1.0.txt
# 日期：2023-07-28, 15:47:20 GMT
# © 2023 Unicode®, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; 基本拉丁文字|Basic Latin
0080..00FF; 拉丁文字补充|Latin-1 Supplement
0100..017F; 拉丁文字扩充A|Latin Extended-A
0180..024F; 拉丁文字扩充B|Latin Extended-B
0250..02AF; 国际音标扩展|IPA Extensions
02B0..02FF; 有距修饰字符|Spacing Modifier Letters
0300..036F; 组合附加记号|Combining Diacritical Marks
0370..03FF; 希腊文字和科普特文字|Greek and Coptic
0400..04FF; 西里尔文字|Cyrillic
0500..052F; 西里尔文字补充|Cyrillic Supplement
0530..058F; 亚美尼亚文字|Armenian
0590..05FF; 希伯来文字|Hebrew
0600..06FF; 阿拉伯文字|Arabic
0700..074F; 叙利亚文字|Syriac
0750..077F; 阿拉伯文字补充|Arabic Supplement
0780..07BF; 塔纳文字|Thaana
07C0..07FF; 西非书面文字|N’Ko
0800..083F; 撒马利亚文字|Samaritan
0840..085F; 曼德恩文字|Mandaic
0860..086F; 叙利亚文字补充|Syriac Supplement
0870..089F; 阿拉伯文字扩充A|Arabic Extended-B
08A0..08FF; 阿拉伯文字扩充B|Arabic Extended-A
0900..097F; 天城文字|Devanagari
0980..09FF; 孟加拉文字|Bengali
0A00..0A7F; 古木基文字|Gurmukhi
0A80..0AFF; 古吉拉特文字|Gujarati
0B00..0B7F; 奥里亚文字|Oriya
0B80..0BFF; 泰米尔文字|Tamil
0C00..0C7F; 泰卢固文字|Telugu
0C80..0CFF; 卡纳达文字|Kannada
0D00..0D7F; 马拉雅拉姆文字|Malayalam
0D80..0DFF; 僧伽罗文字|Sinhala
0E00..0E7F; 泰文字|Thai
0E80..0EFF; 老挝文字|Lao
0F00..0FFF; 藏文字|Tibetan
1000..109F; 缅甸文字|Myanmar
10A0..10FF; 格鲁吉亚文字|Georgian
1100..11FF; 谚文字母|Hangul Jamo
1200..137F; 埃塞俄比亚文字|Ethiopic
1380..139F; 埃塞俄比亚文字补充|Ethiopic Supplement
13A0..13FF; 切罗基文字|Cherokee
1400..167F; 统一加拿大土著音节|Unified Canadian Aboriginal Syllabics
1680..169F; 欧甘文字|Ogham
16A0..16FF; 卢恩文字|Runic
1700..171F; 他加禄文字|Tagalog
1720..173F; 哈努努奥文字|Hanunoo
1740..175F; 布希德文字|Buhid
1760..177F; 蒂亚格班瓦文字|Tagbanwa
1780..17FF; 高棉文字|Khmer
1800..18AF; 蒙文文字|Mongolian
18B0..18FF; 统一加拿大土著音节扩展|Unified Canadian Aboriginal Syllabics Extended
1900..194F; 林布文字|Limbu
1950..197F; 德宏傣文字|Tai Le
1980..19DF; 新傣仂文字|New Tai Lue
19E0..19FF; 高棉文符号|Khmer Symbols
1A00..1A1F; 布吉文字|Buginese
1A20..1AAF; 傣昙文字|Tai Tham
1AB0..1AFF; 组合附加记号扩展|Combining Diacritical Marks Extended
1B00..1B7F; 巴厘文字|Balinese
1B80..1BBF; 巽他文字|Sundanese
1BC0..1BFF; 巴塔克文字|Batak
1C00..1C4F; 雷布查文字|Lepcha
1C50..1C7F; 奥尔奇基文字|Ol Chiki
1C80..1C8F; 西里尔文字扩展C|Cyrillic Extended-C
1C90..1CBF; 格鲁吉亚文字扩展|Georgian Extended
1CC0..1CCF; 巽他文字补充|Sundanese Supplement
1CD0..1CFF; 吠陀文字扩展|Vedic Extensions
1D00..1D7F; 音标扩展|Phonetic Extensions
1D80..1DBF; 音标扩展补充|Phonetic Extensions Supplement
1DC0..1DFF; 组合附加记号补充|Combining Diacritical Marks Supplement
1E00..1EFF; 拉丁文字附加扩展|Latin Extended Additional
1F00..1FFF; 希腊文字扩展|Greek Extended
2000..206F; 通用标点符号|General Punctuation
2070..209F; 上标与下标|Superscripts and Subscripts
20A0..20CF; 货币符号|Currency Symbols
20D0..20FF; 组合用附加记号|Combining Diacritical Marks for Symbols
2100..214F; 类字母符号|Letterlike Symbols
2150..218F; 数字形式|Number Forms
2190..21FF; 箭头|Arrows
2200..22FF; 数学运算符|Mathematical Operators
2300..23FF; 各式技术符|Miscellaneous Technical
2400..243F; 控制图符|Control Pictures
2440..245F; 光学字符识别符号|Optical Character Recognition
2460..24FF; 包围字母数字|Enclosed Alphanumerics
2500..257F; 制表符|Box Drawing
2580..259F; 方块构素|Block Elements
25A0..25FF; 几何形状|Geometric Shapes
2600..26FF; 各式符号|Miscellaneous Symbols
2700..27BF; 印刷符号|Dingbats
27C0..27EF; 各式数学符号A|Miscellaneous Mathematical Symbols-A
27F0..27FF; 补充箭头A|Supplemental Arrows-A
2800..28FF; 布莱叶盲文点字|Braille Patterns
2900..297F; 补充箭头B|Supplemental Arrows-B
2980..29FF; 各式数学符号B|Miscellaneous Mathematical Symbols-B
2A00..2AFF; 补充数学运算符|Supplemental Mathematical Operators
2B00..2BFF; 各式符号及箭头|Miscellaneous Symbols and Arrows
2C00..2C5F; 格拉哥里文字|Glagolitic
2C60..2C7F; 拉丁文字扩展C|Latin Extended-C
2C80..2CFF; 科普特文字|Coptic
2D00..2D2F; 格鲁吉亚文字补充|Georgian Supplement
2D30..2D7F; 提非纳文字|Tifinagh
2D80..2DDF; 埃塞俄比亚文字补充|Ethiopic Extended
2DE0..2DFF; 西里尔文字扩展A|Cyrillic Extended-A
2E00..2E7F; 补充标点符号|Supplemental Punctuation
2E80..2EFF; 中日韩汉字部首补充|CJK Radicals Supplement
2F00..2FDF; 康熙部首|Kangxi Radicals
2FF0..2FFF; 表意文字描述字符|Ideographic Description Characters
3000..303F; 中日韩符号及标点|CJK Symbols and Punctuation
3040..309F; 平假名|Hiragana
30A0..30FF; 片假名|Katakana
3100..312F; 注音符号|Bopomofo
3130..318F; 谚文兼容字母|Hangul Compatibility Jamo
3190..319F; 汉文训读|Kanbun
31A0..31BF; 注音符号扩展|Bopomofo Extended
31C0..31EF; 中日韩汉字笔画|CJK Strokes
31F0..31FF; 片假名音标扩展|Katakana Phonetic Extensions
3200..32FF; 包围中日韩字母及月份|Enclosed CJK Letters and Months
3300..33FF; 中日韩兼容全角字符|CJK Compatibility
3400..4DBF; 汉字统一汉字扩充A|CJK Unified Ideographs Extension A
4DC0..4DFF; 易经六十四卦符号|Yijing Hexagram Symbols
4E00..9FFF; 汉字统一汉字|CJK Unified Ideographs
A000..A48F; 彝文音节|Yi Syllables
A490..A4CF; 彝文部首|Yi Radicals
A4D0..A4FF; 傈僳(老)文字|Lisu
A500..A63F; 瓦伊文字|Vai
A640..A69F; 西里尔文字扩展B|Cyrillic Extended-B
A6A0..A6FF; 巴默姆文字|Bamum
A700..A71F; 声调修饰符号|Modifier Tone Letters
A720..A7FF; 拉丁文字扩展D|Latin Extended-D
A800..A82F; 西洛蒂城文字|Syloti Nagri
A830..A83F; 通用印度数字|Common Indic Number Forms
A840..A87F; 八思巴文字|Phags-pa
A880..A8DF; 索拉什特拉文字|Saurashtra
A8E0..A8FF; 天城文字扩展|Devanagari Extended
A900..A92F; 克耶利文字|Kayah Li
A930..A95F; 雷姜文字|Rejang
A960..A97F; 谚文字母扩展A|Hangul Jamo Extended-A
A980..A9DF; 爪哇文字|Javanese
A9E0..A9FF; 缅甸文字扩展B|Myanmar Extended-B
AA00..AA5F; 占文字|Cham
AA60..AA7F; 缅甸文字扩展A|Myanmar Extended-A
AA80..AADF; 傣越文字|Tai Viet
AAE0..AAFF; 米代文字扩展|Meetei Mayek Extensions
AB00..AB2F; 埃塞俄比亚文字扩展A|Ethiopic Extended-A
AB30..AB6F; 拉丁文字扩展E|Latin Extended-E
AB70..ABBF; 切罗基文字补充|Cherokee Supplement
ABC0..ABFF; 米代文字|Meetei Mayek
AC00..D7AF; 谚文音节|Hangul Syllables
D7B0..D7FF; 谚文字母扩展B|Hangul Jamo Extended-B
D800..DB7F; 高位替代|High Surrogates
DB80..DBFF; 高位私用替代|High Private Use Surrogates
DC00..DFFF; 低位替代|Low Surrogates
E000..F8FF; 私人使用区|Private Use Area
F900..FAFF; 中日韩兼容汉字|CJK Compatibility Ideographs
FB00..FB4F; 字母变体形式|Alphabetic Presentation Forms
FB50..FDFF; 阿拉伯文字变体A|Arabic Presentation Forms-A
FE00..FE0F; 变体选择符|Variation Selectors
FE10..FE1F; 竖排标点符号|Vertical Forms
FE20..FE2F; 组合用半记号|Combining Half Marks
FE30..FE4F; 中日韩兼容标点符号|CJK Compatibility Forms
FE50..FE6F; 小型标点符号|Small Form Variants
FE70..FEFF; 阿拉伯文字变体B|Arabic Presentation Forms-B
FF00..FFEF; 半角符号及全角符号|Halfwidth and Fullwidth Forms
FFF0..FFFF; 特殊字符|Specials
10000..1007F; 线形文字B音节文字|Linear B Syllabary
10080..100FF; 线形文字B表意文字|Linear B Ideograms
10100..1013F; 爱琴数字|Aegean Numbers
10140..1018F; 古希腊数字|Ancient Greek Numbers
10190..101CF; 古代符号|Ancient Symbols
101D0..101FF; 费斯托斯圆盘文字|Phaistos Disc
10280..1029F; 吕基亚文字|Lycian
102A0..102DF; 加里亚文字|Carian
102E0..102FF; 科普特闰余数字|Coptic Epact Numbers
10300..1032F; 古意大利文字|Old Italic
10330..1034F; 哥特文字|Gothic
10350..1037F; 古彼尔姆文字|Old Permic
10380..1039F; 乌加里特文字|Ugaritic
103A0..103DF; 古波斯文字|Old Persian
10400..1044F; 德撒律文字|Deseret
10450..1047F; 萧伯纳文字|Shavian
10480..104AF; 伊斯马尼亚文字|Osmanya
